Address 0x1000, write 1 successfully
Address 0x1001, write 2 successfully
Address 0x1002, write 3 successfully
Address 0x1003, write 4 successfully
Address 0x1004, write 5 successfully
Address 0x1005, write 6 successfully
Address 0x1006, write 7 successfully
Address 0x1007, write 8 successfully
Address 0x1008, write 9 successfully
Address 0x1009, write 10 successfully
Address 0x100A, write 11 successfully
Address 0x100B, write 12 successfully
Address 0x1002, Read 3 successfully
Address 0x1006, Read 7 successfully
Address 0x100C, write 13 successfully
Address 0x1004, write 55 successfully
Address 0x100D, write 14 successfully
Address 0x100E, write 15 successfully
Address 0x100F, write 16 successfully
Address 0x1004, Read 55 successfully
Address 0x1003, Read 4 successfully
